iter	Logloss
0	0.6806100969
1	0.6701246497
2	0.6587425856
3	0.6515209698
4	0.6441270885
5	0.6394582982
6	0.6352589135
7	0.6288634432
8	0.6219832746
9	0.6151874348
10	0.6094424195
11	0.6068280015
12	0.6031039195
13	0.6011753751
14	0.5976628505
15	0.5929487708
16	0.5874946916
17	0.5820457193
18	0.5772686799
19	0.5733896712
20	0.5706902552
21	0.5660364314
22	0.5622656021
23	0.5616036688
24	0.5598969264
25	0.5573677026
26	0.5569437772
27	0.5547573274
28	0.554325055
29	0.553058071
30	0.5509480195
31	0.5487106279
32	0.5445026235
33	0.5433411407
34	0.541126314
35	0.5396683671
36	0.5380825434
37	0.5357638491
38	0.5341177625
39	0.5312296614
40	0.530240225
41	0.52824644
42	0.5274459297
43	0.5265975371
44	0.5249714441
45	0.5221887952
46	0.5212940476
47	0.5202192663
48	0.5196720682
49	0.5194181316
50	0.5173314608
51	0.5148442603
52	0.5119827516
53	0.5101927699
54	0.5096539603
55	0.5091989093
56	0.5071960244
57	0.5053379112
58	0.5035955829
59	0.5030116621
60	0.5007928284
61	0.4985137303
62	0.497046915
63	0.4957984132
64	0.4947412615
65	0.4941227254
66	0.4926990713
67	0.4921363374
68	0.4915248134
69	0.4915246022
70	0.4895455509
71	0.4895028359
72	0.4883818728
73	0.4876872267
74	0.4876871801
75	0.4858936999
76	0.485282677
77	0.4845138574
78	0.4834789158
79	0.4807092147
80	0.4792534721
81	0.4764491198
82	0.4747783115
83	0.474065352
84	0.4730887118
85	0.4725385684
86	0.4721025979
87	0.4714717908
88	0.469981542
89	0.4691345028
90	0.4682679347
91	0.4682627815
92	0.46798623
93	0.4665207552
94	0.4658177916
95	0.4654939275
96	0.464877232
97	0.4639369065
98	0.4625917163
99	0.4625916453
100	0.460626099
101	0.4601456588
102	0.4589462201
103	0.4575677828
104	0.4563931676
105	0.4528559275
106	0.4515217512
107	0.4510442263
108	0.4504166467
109	0.4485856267
110	0.4478912081
111	0.4475390059
112	0.4454886956
113	0.4445382985
114	0.4440161895
115	0.4430643623
116	0.4422536425
117	0.441050738
118	0.4408236685
119	0.4407418239
120	0.4394040106
121	0.438371356
122	0.4383707696
123	0.4383462005
124	0.4368357664
125	0.4359176328
126	0.4350053933
127	0.4345594715
128	0.4332292141
129	0.4319545286
130	0.4298761895
131	0.4294894367
132	0.4293256299
133	0.428163299
134	0.425907426
135	0.4258268606
136	0.4254622832
137	0.4251729037
138	0.4251419395
139	0.4238155242
140	0.4238125964
141	0.4230776657
142	0.4230288376
143	0.4212328107
144	0.4198214735
145	0.4184541165
146	0.4181619693
147	0.4178270557
148	0.4150597138
149	0.4144245447
150	0.4136669204
151	0.4133200906
152	0.4131189373
153	0.4117937237
154	0.4102062535
155	0.4088031462
156	0.4071611417
157	0.4066690421
158	0.4054361584
159	0.4043433584
160	0.4034436561
161	0.4030620852
162	0.4018138254
163	0.4003473493
164	0.3992012087
165	0.397272385
166	0.3956204979
167	0.3945526794
168	0.3935097694
169	0.3926629542
