iter	Passed	Remaining
0	166	83253
1	210	52413
2	243	40411
3	259	32234
4	272	26947
5	277	22861
6	287	20229
7	305	18763
8	326	17797
9	349	17101
10	370	16486
11	378	15396
12	389	14602
13	394	13688
14	409	13227
15	431	13047
16	453	12880
17	474	12702
18	495	12552
19	516	12400
20	537	12259
21	559	12166
22	582	12078
23	594	11784
24	617	11725
25	637	11622
26	642	11256
27	664	11201
28	678	11018
29	698	10939
30	719	10892
31	741	10837
32	807	11429
33	850	11652
34	913	12142
35	948	12225
36	980	12265
37	1007	12245
38	1033	12216
39	1073	12340
40	1094	12255
41	1118	12197
42	1130	12018
43	1142	11839
44	1163	11762
45	1189	11739
46	1215	11711
47	1238	11664
48	1262	11616
49	1277	11499
50	1300	11449
51	1322	11394
52	1345	11350
53	1367	11295
54	1389	11242
55	1410	11185
56	1431	11128
57	1455	11091
58	1476	11037
59	1507	11051
60	1527	10991
61	1547	10935
62	1569	10885
63	1590	10833
64	1612	10792
65	1630	10720
66	1682	10873
67	1707	10847
68	1729	10803
69	1735	10658
70	1756	10613
71	1766	10501
72	1790	10470
73	1814	10447
74	1820	10317
75	1847	10308
76	1879	10326
77	1905	10310
78	1929	10282
79	1952	10253
80	1977	10230
81	2004	10218
82	2028	10189
83	2048	10144
84	2072	10117
85	2111	10163
86	2165	10278
87	2218	10384
88	2259	10433
89	2290	10436
90	2317	10416
91	2333	10349
92	2379	10412
93	2418	10444
94	2444	10420
95	2466	10381
96	2491	10349
97	2513	10312
98	2534	10265
99	2544	10176
100	2565	10133
101	2587	10095
102	2609	10058
103	2632	10024
104	2660	10007
105	2682	9970
106	2707	9943
107	2729	9906
108	2751	9871
109	2774	9837
110	2796	9800
111	2820	9770
112	2842	9735
113	2864	9698
114	2888	9669
115	2912	9639
116	2934	9606
117	2958	9577
118	2982	9549
119	3008	9525
120	3034	9506
121	3061	9485
122	3073	9421
123	3088	9364
124	3112	9337
125	3138	9316
126	3164	9295
127	3188	9266
128	3210	9232
129	3233	9202
130	3255	9168
131	3276	9135
132	3297	9099
133	3320	9068
134	3344	9043
135	3361	8997
136	3377	8949
137	3399	8918
138	3415	8870
139	3439	8844
140	3448	8780
141	3471	8752
142	3497	8730
143	3525	8716
144	3554	8702
145	3583	8687
146	3618	8688
147	3651	8685
148	3677	8664
149	3709	8655
150	3752	8673
151	3795	8688
152	3827	8680
153	3903	8769
154	3991	8883
155	4044	8918
156	4074	8901
157	4114	8906
158	4145	8891
159	4177	8877
160	4209	8863
161	4241	8848
162	4276	8842
163	4313	8836
164	4348	8829
165	4389	8832
166	4427	8828
167	4459	8813
168	4490	8794
169	4523	8780
170	4555	8765
171	4596	8764
172	4638	8768
173	4680	8768
174	4722	8769
175	4778	8797
176	4819	8795
177	4851	8776
178	4889	8768
179	4925	8757
180	4964	8749
181	5001	8738
182	5038	8728
183	5072	8711
184	5105	8693
185	5142	8682
186	5174	8661
187	5214	8654
188	5255	8648
189	5297	8642
190	5336	8633
191	5374	8621
192	5415	8613
193	5457	8608
194	5494	8594
195	5544	8600
196	5589	8597
197	5627	8583
198	5664	8567
199	5696	8544
200	5729	8522
201	5779	8526
202	5815	8507
203	5846	8482
204	5874	8452
205	5908	8432
206	5952	8425
207	5988	8407
208	6048	8421
209	6090	8410
210	6129	8394
211	6163	8372
212	6198	8351
213	6227	8323
214	6256	8294
215	6286	8265
216	6314	8234
217	6343	8205
218	6379	8185
219	6418	8169
220	6456	8150
221	6496	8135
222	6538	8122
223	6579	8106
224	6618	8089
225	6654	8068
226	6691	8047
227	6723	8021
228	6758	7998
229	6787	7967
230	6819	7940
231	6846	7908
232	6879	7883
233	6915	7861
234	6952	7839
235	6983	7812
236	7023	7793
237	7065	7778
238	7108	7763
239	7140	7735
240	7172	7708
241	7207	7683
242	7238	7655
243	7274	7632
244	7313	7611
245	7357	7596
246	7390	7569
247	7425	7545
248	7461	7521
249	7502	7502
250	7547	7487
251	7587	7467
252	7629	7448
253	7673	7432
254	7715	7412
255	7752	7389
256	7794	7370
257	7826	7341
258	7860	7314
259	7909	7300
260	7953	7282
261	7986	7254
262	8018	7225
263	8102	7243
264	8147	7225
265	8177	7193
266	8208	7163
267	8241	7134
268	8268	7100
269	8304	7073
270	8340	7047
271	8381	7025
272	8424	7005
273	8465	6982
274	8508	6961
275	8549	6938
276	8591	6916
277	8631	6892
278	8677	6873
279	8716	6848
280	8755	6823
281	8790	6795
282	8824	6766
283	8874	6749
284	8913	6724
285	8952	6698
286	8986	6669
287	9052	6663
288	9087	6634
289	9154	6628
290	9212	6616
291	9255	6592
292	9295	6566
293	9330	6538
294	9405	6536
295	9447	6510
296	9481	6480
297	9508	6445
298	9540	6413
299	9575	6383
300	9610	6353
301	9649	6326
302	9687	6298
303	9724	6269
304	9758	6239
305	9790	6206
306	9821	6174
307	9879	6158
308	9919	6131
309	9954	6100
310	9985	6068
311	10017	6036
312	10041	5999
313	10064	5961
314	10087	5924
315	10113	5888
316	10136	5851
317	10160	5814
318	10188	5781
319	10224	5751
320	10264	5723
321	10303	5695
322	10343	5668
323	10380	5638
324	10413	5607
325	10453	5579
326	10488	5549
327	10521	5517
328	10567	5492
329	10615	5468
330	10658	5441
331	10696	5412
332	10727	5379
333	10768	5352
334	10809	5324
335	10852	5296
336	10894	5269
337	10930	5238
338	10964	5207
339	11000	5176
340	11039	5147
341	11074	5116
342	11112	5086
343	11147	5055
344	11188	5026
345	11233	4999
346	11276	4971
347	11316	4942
348	11353	4912
349	11394	4883
350	11434	4853
351	11470	4822
352	11498	4788
353	11530	4755
354	11557	4720
355	11588	4687
356	11644	4664
357	11681	4633
358	11718	4602
359	11763	4574
360	11800	4543
361	11844	4515
362	11882	4484
363	11913	4451
364	11953	4421
365	11986	4388
366	12024	4357
367	12063	4327
368	12103	4296
369	12141	4265
370	12182	4235
371	12226	4207
372	12266	4176
373	12310	4147
374	12352	4117
375	12396	4088
376	12440	4058
377	12478	4027
378	12518	3996
379	12558	3965
380	12591	3932
381	12627	3900
382	12661	3867
383	12701	3836
384	12732	3803
385	12755	3767
386	12791	3734
387	12822	3701
388	12850	3666
389	12885	3634
390	12923	3602
391	12960	3570
392	12992	3537
393	13026	3504
394	13066	3473
395	13106	3441
396	13143	3409
397	13190	3380
398	13236	3350
399	13283	3320
400	13322	3289
401	13365	3258
402	13408	3227
403	13450	3196
404	13500	3166
405	13540	3135
406	13566	3099
407	13595	3065
408	13628	3032
409	13659	2998
410	13689	2964
411	13728	2932
412	13766	2899
413	13806	2868
414	13837	2834
415	13868	2800
416	13903	2767
417	13945	2735
418	13983	2703
419	14016	2669
420	14051	2636
421	14097	2605
422	14167	2579
423	14210	2547
424	14249	2514
425	14294	2483
426	14328	2449
427	14363	2416
428	14411	2385
429	14443	2351
430	14496	2320
431	14552	2290
432	14595	2258
433	14635	2225
434	14683	2194
435	14724	2161
436	14768	2129
437	14819	2097
438	15013	2086
439	15171	2068
440	15238	2038
441	15291	2006
442	15354	1975
443	15407	1943
444	15469	1912
445	15572	1885
446	15800	1873
447	15857	1840
448	15914	1807
449	15963	1773
450	16014	1739
451	16102	1709
452	16316	1692
453	16355	1657
454	16393	1621
455	16436	1586
456	16474	1550
457	16515	1514
458	16550	1478
459	16586	1442
460	16622	1406
461	16659	1370
462	16697	1334
463	16734	1298
464	16894	1271
465	16952	1236
466	17003	1201
467	17057	1166
468	17123	1131
469	17169	1095
470	17221	1060
471	17269	1024
472	17314	988
473	17357	952
474	17400	915
475	17442	879
476	17698	853
477	17740	816
